Year,Gasoline_Price,Inflation_Adjuster,Gasoline_Price_2023
1950,0.27,12.28,3.29
1951,0.27,11.59,3.15
1952,0.27,11.5,3.15
1953,0.29,11.41,3.27
1954,0.29,11.5,3.34
1955,0.29,11.46,3.33
1956,0.3,11.13,3.33
1957,0.31,10.81,3.35
1958,0.3,10.62,3.23
1959,0.31,10.44,3.18
1960,0.31,10.3,3.2
1961,0.31,10.24,3.15
1962,0.31,10.1,3.09
1963,0.3,9.94,3.02
1964,0.3,9.84,2.99
1965,0.31,9.66,3.01
1966,0.32,9.33,2.99
1967,0.33,9.06,3.01
1968,0.34,8.65,2.92
1969,0.35,8.14,2.83
1970,0.36,7.71,2.75
1971,0.36,7.47,2.72
1972,0.36,7.22,2.61
1973,0.39,6.65,2.58
1974,0.53,5.92,3.15
1975,0.57,5.53,3.14
1976,0.61,5.28,3.24
1977,0.66,4.94,3.24
1978,0.67,4.54,3.04
1979,0.9,4,3.61
1980,1.25,3.56,4.43
1981,1.38,3.27,4.51
1982,1.3,3.15,4.08
1983,1.24,3.03,3.76
1984,1.21,2.92,3.54
1985,1.2,2.81,3.38
1986,0.93,2.78,2.58
1987,0.95,2.66,2.52
1988,0.95,2.55,2.41
1989,1.02,2.43,2.48
1990,1.16,2.29,2.67
1991,1.14,2.23,2.54
1992,1.13,2.16,2.43
1993,1.11,2.11,2.34
1994,1.11,2.05,2.28
1995,1.15,2,2.29
1996,1.23,1.94,2.39
1997,1.23,1.9,2.34
1998,1.06,1.87,1.98
1999,1.17,1.82,2.12
2000,1.51,1.76,2.66
2001,1.46,1.74,2.54
2002,1.36,1.7,2.31
2003,1.59,1.67,2.66
2004,1.88,1.61,3.03
2005,2.3,1.56,3.58
2006,2.59,1.52,3.94
2007,2.8,1.46,4.09
2008,3.27,1.46,4.77
2009,2.35,1.42,3.34
2010,2.79,1.4,3.9
2011,3.53,1.36,4.8
2012,3.64,1.34,4.88
2013,3.53,1.32,4.65
2014,3.37,1.32,4.44
2015,2.45,1.3,3.18
2016,2.14,1.27,2.72
2017,2.41,1.25,3.01
2018,2.74,1.22,2.74
2019,2.64,1.19,3.14
2020,2.17,1.18,2.56
2021,3.05,1.1,3.36
2022,4.09,1.03,4.22
2023,3.5,1,3.5
